Media Source,Tweet,Created At,Tweets Ago,Compound,Positive,Neutral,Negative
@BBC,"RT @bbcweather: From today, night is longer than day. 🌃/☀ and the darkness is increasing at a rate of 4/5mins a day. Jo #Autumn https://t.c…",Wed Sep 26 14:04:00 +0000 2018,73,-0.25,0.0,0.917,0.083
@BBC,"Archaeologists have found a 400-year-old shipwreck off the coast of Portugal, in what one specialist called the ""di… https://t.co/YP9fuo5Iz7",Wed Sep 26 14:03:03 +0000 2018,74,0.0,0.0,1.0,0.0
@BBC,"Another grand slam for @Andy_Murray 😬

The tennis star took to Instagram to share the awkward moment he dropped a c… https://t.co/fXEFv5P9Nz",Wed Sep 26 13:04:06 +0000 2018,75,-0.1027,0.181,0.59,0.229
@BBC,An orangutan named Rocky has become the first to mimic human speech. 🙊💬  https://t.co/DIGdTHwpNq https://t.co/MeQwgxocmm,Wed Sep 26 12:32:03 +0000 2018,76,0.0,0.0,1.0,0.0
@BBC,"It’s National #FitnessDay! 🏀️⚽️🎾

How much do you really know about exercise? 

Take this quiz to find out…… https://t.co/8t1SMXLZp2",Wed Sep 26 12:30:08 +0000 2018,77,0.0,0.0,1.0,0.0
@BBC,"It's that time of year again... 🙄

https://t.co/LxjiPTYUIG",Wed Sep 26 11:02:01 +0000 2018,78,0.0,0.0,1.0,0.0
@BBC,RT @BBCRadio4: 🎶 Prepare for adventure as @gemcairn takes @KojeyRadical on a musical journey to Accra... https://t.co/mvTfrBzlnB,Wed Sep 26 10:46:44 +0000 2018,79,0.3182,0.126,0.874,0.0
@BBC,"What. A. Voice. 😮👏

7-year-old Malea Emma was asked to sing the national anthem before an LA Galaxy game...

https://t.co/WHmbmTKkyU",Wed Sep 26 10:04:04 +0000 2018,80,0.0,0.0,1.0,0.0
@BBC,RT @BBCLater: Record-breaking UK solo artist @JessGlynne got our brand new series off to a storming start tonight... Watch the performance…,Wed Sep 26 09:53:51 +0000 2018,81,0.0,0.0,1.0,0.0
@BBC,"Discover the ancient volcanoes along Scotland’s west coast... 😮🌋

https://t.co/kEPUuvtDN3",Wed Sep 26 09:04:04 +0000 2018,82,0.0,0.0,1.0,0.0
@BBC,How to help a friend who's struggling with mental health. https://t.co/X9PwihsgH9 https://t.co/0lUMrtmb1j,Wed Sep 26 08:04:03 +0000 2018,83,0.4767,0.353,0.479,0.168
@BBC,"Students can take a David Bowie course at Leeds University. ✍🎓 

📻👉 https://t.co/4jPPrnAK5S https://t.co/0ISuNTEZ5b",Wed Sep 26 07:31:04 +0000 2018,84,0.0,0.0,1.0,0.0
@BBC,"From Hawarden to Mount Snowdon, it's #MonkmanAndSeagull's Guide To Wales! 🙌 @e_monkman @bobby_seagull 

https://t.co/witW8qatbV",Wed Sep 26 07:02:07 +0000 2018,85,0.0,0.0,1.0,0.0
@BBC,"Tonight @JessGlynne, @idlesband, @softcellhq, @Ralph_McTell, @KingPrincess69 and @HakBaker join Jools on the first… https://t.co/Lb6VCJ3eQI",Tue Sep 25 20:03:05 +0000 2018,86,0.296,0.145,0.855,0.0
@BBC,"Christopher Eccleston narrates a film which asks whether, a century later, the lessons learnt in 1918 might help us… https://t.co/BiR6nIr1bz",Tue Sep 25 19:03:06 +0000 2018,87,0.4019,0.137,0.863,0.0
@BBC,"RT @BBCOne: **BREAKING** Meet your 2018 candidates, as introduced by @MattEdmondson on @bbciplayer &gt;&gt; https://t.co/oUaGVpPBuf

#TheApprenti…",Tue Sep 25 16:32:49 +0000 2018,88,0.0,0.0,1.0,0.0
@BBC,"Happy birthday to the one and only Will Smith! 🎉🎈

https://t.co/CqmihTvPYW",Tue Sep 25 16:02:03 +0000 2018,89,0.6114,0.285,0.715,0.0
@BBC,".@BTS_twt have now gone where no K-pop group has gone before: The United Nations.

In a powerful speech, Kim Nam-jo… https://t.co/bkZFU5VfFX",Tue Sep 25 15:02:02 +0000 2018,90,0.5267,0.226,0.685,0.089
@BBC,"🔤Scrabble players will now be able to use words such as ""OK"" and ""ew"" after a US dictionary company announced it wa… https://t.co/kMHWzb8Gwi",Tue Sep 25 14:00:23 +0000 2018,91,0.0,0.0,1.0,0.0
@BBC,"In Sweden, you get paid double to be a parent.

(Via @BBCThree)

https://t.co/daXes3fiZX",Tue Sep 25 13:05:02 +0000 2018,92,0.0,0.0,1.0,0.0
@BBC,Indonesian teenager survives 49 days adrift at sea in 'fishing hut'. https://t.co/5rKpohNfRi https://t.co/qlRvoxZGe2,Tue Sep 25 12:32:05 +0000 2018,93,0.0,0.0,1.0,0.0
@BBC,"This is what happens when you teach African teenage girls to fly. ✈️

https://t.co/1Kp4Ael1FO",Tue Sep 25 11:03:05 +0000 2018,94,0.0,0.0,1.0,0.0
@BBC,"RT @bbcpress: 👉 Meet the new #TheApprentice contestants. Who will be the first to hear the words ""you're fired""? Series starts 3 October on…",Tue Sep 25 10:39:01 +0000 2018,95,0.0,0.0,1.0,0.0
@BBC,"Who knew eating a pizza could be this filthy? 😂🍕 #QI

https://t.co/eeYWlRL9eV",Tue Sep 25 10:03:02 +0000 2018,96,0.0,0.0,1.0,0.0
@BBC,"♻️ It's so different from place to place… is there an easier way to sort this plastic recycling? 

https://t.co/75TG6dddQd",Tue Sep 25 08:53:02 +0000 2018,97,0.4215,0.128,0.872,0.0
@BBC,"Plastic is everywhere. Are you surprised?

#PlasticsWatch https://t.co/q1QXHYgYAR",Tue Sep 25 08:30:00 +0000 2018,98,0.2263,0.213,0.787,0.0
@BBC,"🤔🎨Quiz: Can you guess which musicians painted these pictures?

https://t.co/CNo9uMGasj https://t.co/YrQeRins9E",Tue Sep 25 08:02:07 +0000 2018,99,0.0,0.0,1.0,0.0
